,market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,KRW-ETH,2017-09-25T00:00:00,2017-09-25T09:00:00,324500,326500,320000,325000,2017-09-25 23:55:35.846,459010091.79589,1421.85542702,NaN,NaN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,KRW-ETH,2017-09-26T00:00:00,2017-09-26T09:00:00,325000,328500,320000,321500,2017-09-26 23:59:12.473,16747.8,0.0516,325000.0,-3500.0,-0.0107692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,KRW-ETH,2017-09-27T00:00:00,2017-09-27T09:00:00,321000,342500,320000,342500,2017-09-27 23:57:44.826,16672.25,0.0507,321500.0,21000.0,0.065318818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,KRW-ETH,2017-09-28T00:00:00,2017-09-28T09:00:00,342000,346500,327000,332500,2017-09-28 23:57:34.165,16705.75,0.0497,342500.0,-10000.0,-0.0291970803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,KRW-ETH,2017-09-29T00:00:00,2017-09-29T09:00:00,331000,333500,312500,327500,2017-09-29 23:58:19.747,17046.65,0.0523,332500.0,-5000.0,-0.015037594000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,KRW-ETH,2017-09-30T00:00:00,2017-09-30T09:00:00,327500,341500,327000,341000,2017-09-30 23:58:23.660,17575.15,0.0525,327500.0,13500.0,0.041221374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,KRW-ETH,2017-10-01T00:00:00,2017-10-01T09:00:00,341000,344500,331500,342000,2017-10-01 23:59:35.730,17811.15,0.0524,341000.0,1000.0,0.0029325513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,KRW-ETH,2017-10-02T00:00:00,2017-10-02T09:00:00,342000,346000,336500,340000,2017-10-02 23:59:17.021,17889.55,0.0524,342000.0,-2000.0,-0.0058479532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,KRW-ETH,2017-10-03T00:00:00,2017-10-03T09:00:00,340000,345500,324000,338000,2017-10-03 23:58:21.231,16378.6,0.0487,340000.0,-2000.0,-0.0058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,KRW-ETH,2017-10-04T00:00:00,2017-10-04T09:00:00,336000,343000,333500,338000,2017-10-04 23:59:35.048,16030.35,0.0473,338000.0,NaN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,KRW-ETH,2017-10-05T00:00:00,2017-10-05T09:00:00,339500,341500,333000,337500,2017-10-05 23:58:58.601,16107.5,0.0477,338000.0,-500.0,-0.0014792899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,KRW-ETH,2017-10-06T00:00:00,2017-10-06T09:00:00,338000,357000,335500,356000,2017-10-06 23:57:20.837,16913.65,0.0494,337500.0,18500.0,0.0548148148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,KRW-ETH,2017-10-07T00:00:00,2017-10-07T09:00:00,356000,360000,349500,354500,2017-10-07 23:58:12.794,18422.3,0.0521,356000.0,-1500.0,-0.0042134831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,KRW-ETH,2017-10-08T00:00:00,2017-10-08T09:00:00,353000,357000,341000,349500,2017-10-08 23:58:29.373,18267.4,0.0519,354500.0,-5000.0,-0.0141043724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,KRW-ETH,2017-10-09T00:00:00,2017-10-09T09:00:00,349500,354000,334000,339500,2017-10-09 23:57:27.564,17989.05,0.0519,349500.0,-10000.0,-0.028612303300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,KRW-ETH,2017-10-10T00:00:00,2017-10-10T09:00:00,340500,353000,334000,344000,2017-10-10 23:58:48.614,17777.95,0.0516,339500.0,4500.0,0.0132547865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,KRW-ETH,2017-10-11T00:00:00,2017-10-11T09:00:00,348000,352500,342500,348000,2017-10-12 00:00:14.712,17765.9,0.0511,344000.0,4000.0,0.011627907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,KRW-ETH,2017-10-12T00:00:00,2017-10-12T09:00:00,350500,356500,345000,354000,2017-10-12 23:57:58.272,17956.15,0.0511,348000.0,6000.0,0.0172413793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,KRW-ETH,2017-10-13T00:00:00,2017-10-13T09:00:00,352000,400000,347000,384000,2017-10-14 00:00:05.698,19307.95,0.0512,354000.0,30000.0,0.0847457627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,KRW-ETH,2017-10-14T00:00:00,2017-10-14T09:00:00,384500,398500,377500,383000,2017-10-15 00:00:08.784,20074.65,0.051500000000000000,384000.0,-1000.0,-0.0026041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,KRW-ETH,2017-10-15T00:00:00,2017-10-15T09:00:00,383500,390500,363000,377000,2017-10-15 23:59:59.984,19456.75,0.051500000000000000,383000.0,-6000.0,-0.0156657963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,KRW-ETH,2017-10-16T00:00:00,2017-10-16T09:00:00,380500,398500,371500,377000,2017-10-16 23:57:18.856,19287.5,0.0504,377000.0,NaN,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,KRW-ETH,2017-10-17T00:00:00,2017-10-17T09:00:00,376500,377500,353500,360000,2017-10-17 23:58:43.644,22072.7,0.0599,377000.0,-17000.0,-0.0450928382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,KRW-ETH,2017-10-18T00:00:00,2017-10-18T09:00:00,361000,366500,334500,360500,2017-10-18 23:57:12.889,28484957.9,81.0197,360000.0,500.0,0.0013888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,KRW-ETH,2017-10-19T00:00:00,2017-10-19T09:00:00,361500,365000,345500,352500,2017-10-19 23:58:04.074,83045000.0,235.0,360500.0,-8000.0,-0.0221914008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,KRW-ETH,2017-10-20T00:00:00,2017-10-20T09:00:00,347000,356000,344500,351000,2017-10-20 15:56:16.337,22798945.0,64.94,352500.0,-1500.0,-0.0042553191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,KRW-ETH,2017-10-24T00:00:00,2017-10-24T09:00:00,351500,364000,342500,348500,2017-10-24 23:57:15.304,775110.0,2.19,351000.0,-2500.0,-0.007122507100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,KRW-ETH,2017-10-25T00:00:00,2017-10-25T09:00:00,349500,352000,333000,344500,2017-10-25 23:58:52.833,803505.0,2.34,348500.0,-4000.0,-0.0114777618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,KRW-ETH,2017-10-26T00:00:00,2017-10-26T09:00:00,343000,349500,336500,339500,2017-10-26 23:58:30.868,799310.0,2.34,344500.0,-5000.0,-0.014513788100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,KRW-ETH,2017-10-27T00:00:00,2017-10-27T09:00:00,343000,347500,339000,343500,2017-10-28 00:00:18.979,807050.0,2.35,339500.0,4000.0,0.0117820324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,KRW-ETH,2017-10-28T00:00:00,2017-10-28T09:00:00,344500,348000,339000,345500,2017-10-28 23:58:02.308,743845.0,2.17,343500.0,2000.0,0.0058224163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,KRW-ETH,2017-10-29T00:00:00,2017-10-29T09:00:00,344500,360000,336500,342000,2017-10-29 23:58:20.835,812775.0,2.35,345500.0,-3500.0,-0.010130246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,KRW-ETH,2017-10-30T00:00:00,2017-10-30T09:00:00,343000,353500,342500,349000,2017-10-30 23:56:28.579,1225495.0,3.52,342000.0,7000.0,0.0204678363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,KRW-ETH,2017-10-31T00:00:00,2017-10-31T09:00:00,348500,398500,343000,349500,2017-10-31 23:59:38.937,700937.075,2.0,349000.0,500.0,0.0014326648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,KRW-ETH,2017-11-01T00:00:00,2017-11-01T09:00:00,350000,353000,328500,333500,2017-11-01 23:55:45.826,760380.0,2.22,349500.0,-16000.0,-0.045779685300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,KRW-ETH,2017-11-02T00:00:00,2017-11-02T09:00:00,333500,341500,319500,332000,2017-11-02 23:58:45.392,766765.0,2.31,333500.0,-1500.0,-0.0044977511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,KRW-ETH,2017-11-03T00:00:00,2017-11-03T09:00:00,335500,352000,327500,348500,2017-11-03 23:57:57.395,779485.0,2.31,332000.0,16500.0,0.0496987952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,KRW-ETH,2017-11-04T00:00:00,2017-11-04T09:00:00,347000,348500,325500,340000,2017-11-04 23:57:49.927,779360.0,2.31,348500.0,-8500.0,-0.0243902439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,KRW-ETH,2017-11-05T00:00:00,2017-11-05T09:00:00,339500,340500,332000,336000,2017-11-05 15:38:05.197,505950.0,1.5,340000.0,-4000.0,-0.0117647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,KRW-ETH,2017-11-06T00:00:00,2017-11-06T09:00:00,340000,353200,292500,345750,2017-11-06 23:47:05.183,40102331.892955,118.79046062,336000.0,9750.0,0.029017857100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,KRW-ETH,2017-11-07T00:00:00,2017-11-07T09:00:00,349150,356200,335000,338200,2017-11-07 23:59:56.120,2401561611.0961600,7008.22572233,345750.0,-7550.0,-0.021836587100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,KRW-ETH,2017-11-08T00:00:00,2017-11-08T09:00:00,338200,359500,333000,346000,2017-11-08 23:59:58.340,3825702860.201200,11149.34168822,338200.0,7800.0,0.0230632762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,KRW-ETH,2017-11-09T00:00:00,2017-11-09T09:00:00,345950,372950,339500,364200,2017-11-10 00:00:00.306,4560721281.094540,12726.96001463,346000.0,18200.0,0.052601156100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,KRW-ETH,2017-11-10T00:00:00,2017-11-10T09:00:00,364150,365600,337000,341100,2017-11-10 23:59:50.249,4012681528.784450,11413.55512289,364200.0,-23100.0,-0.0634266886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,KRW-ETH,2017-11-11T00:00:00,2017-11-11T09:00:00,341100,362650,337000,357350,2017-11-11 23:59:57.555,4685404903.948630,13382.29249789,341100.0,16250.0,0.047639988300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,KRW-ETH,2017-11-12T00:00:00,2017-11-12T09:00:00,357300,377000,339350,368400,2017-11-12 23:59:53.610,11034373717.586000,30914.83671782,357350.0,11050.0,0.0309220652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,KRW-ETH,2017-11-13T00:00:00,2017-11-13T09:00:00,368400,407000,355600,361450,2017-11-13 23:59:30.383,14176928045.53940,38377.18664656,368400.0,-6950.0,-0.018865363700000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
