date,mid_price,label
2017.09.27,331250,0.362068966
2017.09.28,336750,0.31372549
2017.09.29,323000,0.173913043
2017.09.30,334250,0.3
2017.10.01,338000,0.305555556
2017.10.02,341250,0.378378378
2017.10.03,334750,-0.001
2017.10.04,338250,0.294117647
2017.10.05,337250,0.411764706
2017.10.06,346250,0.416666667
2017.10.07,354750,0.193548387
2017.10.08,349000,0.558823529
2017.10.09,344000,0.485714286
2017.10.10,343500,0.295454545
2017.10.11,347500,0.333333333
2017.10.12,350750,0.194444444
2017.10.13,373500,0.373134328
2017.10.14,388000,0.480769231
2017.10.15,376750,0.333333333
2017.10.16,385000,0.416666667
2017.10.17,365500,0.319148936
2017.10.18,350500,-0.037037037
2017.10.19,355250,0.361702128
2017.10.20,350250,0.264150943
2017.10.21,353250,0.214285714
2017.10.22,342500,0.348837209
2017.10.23,343000,0.052631579
2017.10.24,343250,0.352941176
2017.10.25,343500,0.072727273
2017.10.26,348250,0.083333333
2017.10.27,348000,0.152173913
2017.10.28,370750,0.09375
2017.10.29,340750,0.3
2017.10.30,330500,0.177777778
2017.10.31,339750,0.382978723
2017.11.01,337000,-0.001
2017.11.02,336250,0.12962963
2017.11.03,322850,0.25
2017.11.04,345600,0.317073171
2017.11.05,346250,0.25
2017.11.06,356225,0.259259259
2017.11.07,351300,0.553571429
2017.11.08,349825,0.077922078
2017.11.09,358175,0.206896552
2017.11.10,381300,0.132075472
2017.11.11,375400,0.194444444
2017.11.12,380725,0.229508197
2017.11.13,370375,0.363636364
2017.11.14,366150,0.346153846
2017.11.15,374825,0.277777778
2017.11.16,396700,0.38
2017.11.17,396200,0.405405405
2017.11.18,394275,0.119047619
2017.11.19,408525,0.306122449
2017.11.20,441025,0.342105263
2017.11.21,492150,0.3
2017.11.22,514525,0.234375
2017.11.23,513750,0.227272727
2017.11.24,538500,0.328571429
2017.11.25,552950,0.557377049
2017.11.26,549500,0.094594595
2017.11.27,491625,0.303571429
2017.11.28,515150,0.347222222
2017.11.29,535700,0.263736264
2017.11.30,538500,0.1625
2017.12.01,543500,0.240740741
2017.12.02,560150,0.4
2017.12.03,440550,0.239130435
2017.12.04,558350,0.061538462
2017.12.05,556000,0.338028169
2017.12.06,556750,0.298507463
2017.12.07,502550,0.179487179
2017.12.08,549100,0.195876289
2017.12.09,662700,0.4
2017.12.10,730000,0.145833333
2017.12.11,792850,0.2375
2017.12.12,760000,0.402173913
2017.12.13,793900,0.445378151
2017.12.14,802350,0.287356322
2017.12.15,863200,0.328125
2017.12.16,994550,0.338235294
2017.12.17,1035000,0.392156863
2017.12.18,1109750,0.315068493
2017.12.19,939050,0.391608392
2017.12.20,947050,0.168674699
2017.12.21,940900,0.295081967
2017.12.22,985000,0.088607595
2017.12.23,1043750,0.12
2017.12.24,1039750,0.2
2017.12.25,970000,0.38
2017.12.26,964700,0.424657534
2017.12.27,992650,0.353846154
2017.12.28,1019500,0.220588235
2017.12.29,1043750,0.058139535
2017.12.30,1160750,0.461538462
2017.12.31,1241000,0.212121212
2018.01.01,1393500,0.375
2018.01.02,1525750,0.323232323
2018.01.03,1544750,0.4
2018.01.04,1666000,0.25
2018.01.05,1863250,0.361842105
2018.01.06,2027000,0.27027027
2018.01.07,2026000,0.304878049
2018.01.08,1603000,0.403614458
2018.01.09,1729000,0.169230769
2018.01.10,1973000,0.222222222
2018.01.11,1913000,0.011406844
2018.01.12,1890250,0.190721649
2018.01.13,1399250,0.239316239
2018.01.14,1228500,0.283236994
2018.01.15,1354750,0.437246964
2018.01.16,1358750,0.089171975
2018.01.17,1448000,0.133986928
2018.01.18,1386500,0.038461538
2018.01.19,1264250,0.144144144
2018.01.20,1210250,0.317460317
2018.01.21,1228750,0.117117117
2018.01.22,1250750,-0.333333333
2018.01.23,1185000,-0.047945205
2018.01.24,1218000,0.090909091
2018.01.25,1337000,0.200803213
2018.01.26,1360000,-0.013333333
2018.01.27,1280000,0.25
2018.01.28,1192500,0.348837209
2018.01.29,1209500,0.280373832
2018.01.30,949700,-0.012195122
2018.01.31,977000,0.05
2018.02.01,964500,0.202797203
2018.02.02,850950,-0.078125
2018.02.03,757300,0.196850394
2018.02.04,857000,0.333333333
2018.02.05,893000,-0.160839161
2018.02.06,957400,-0.043307087
2018.02.07,1006250,-0.051094891
2018.02.08,950450,0.331325301
2018.02.09,962500,0.18699187
2018.02.10,969550,0.336448598
2018.02.11,1002550,0.058333333
2018.02.12,1042000,0.511904762
2018.02.13,1064000,0.472727273
2018.02.14,1070500,0.456953642
2018.02.15,1069750,0.503937008
2018.02.16,1060250,0.262295082
2018.02.17,1082500,0.421686747
2018.02.18,1044750,0.225490196
2018.02.19,991050,0.277272727
2018.02.20,980000,0.386243386
2018.02.21,998500,-0.019230769
2018.02.22,976700,-0.099173554
2018.02.23,984000,0.150943396
2018.02.24,987450,0.363636364
2018.02.25,982200,0.257142857
2018.02.26,972450,0.031531532
2018.02.27,969750,0.300578035
2018.02.28,959800,0.012195122
2018.03.01,942650,0.133971292
2018.03.02,947600,0.136752137
2018.03.03,924450,-0.009708738
2018.03.04,870300,0.133027523
2018.03.05,824000,0.4082397
2018.03.06,764050,-0.08984375
2018.03.07,800050,-0.001
2018.03.08,776200,0.145833333
2018.03.09,787250,0.101123596
2018.03.10,769750,0.115
2018.03.11,718150,0.193548387
2018.03.12,659000,0.133587786
2018.03.13,661000,0.052845528
2018.03.14,636500,-0.013986014
2018.03.15,558850,0.070512821
2018.03.16,602500,0.25
2018.03.17,600850,0.019323671
2018.03.18,632250,-0.135294118
2018.03.19,608700,0.192307692
2018.03.20,586250,0.346428571
2018.03.21,595500,0.302158273
2018.03.22,585900,0.096
2018.03.23,557950,0.068027211
2018.03.24,522750,0.247474747
2018.03.25,500550,0.162921348
2018.03.26,459575,0.020080321
2018.03.27,431050,-0.048275862
2018.03.28,448075,0.193277311
2018.03.29,418025,0.066390041
2018.03.30,422025,-0.164658635
2018.03.31,436250,0.351219512
2018.04.01,431950,-0.022123894
2018.04.02,414950,0.114893617
2018.04.03,410500,0.165898618
2018.04.04,415850,-0.026548673
2018.04.05,426725,-0.062801932
2018.04.06,445550,0.046610169
2018.04.07,440275,0.225108225
2018.04.08,453050,0.217532468
2018.04.09,478700,0.205357143
2018.04.10,523650,0.216292135
2018.04.11,521750,0.231511254
2018.04.12,535250,0.331147541
2018.04.13,548600,0.276363636
2018.04.14,542650,0.122994652
2018.04.15,547300,0.395454545
2018.04.16,586350,0.232804233
2018.04.17,632000,0.233009709
2018.04.18,650000,0.139534884
2018.04.19,669700,0.296167247
2018.04.20,692100,0.222222222
2018.04.21,738650,0.325443787
2018.04.22,715350,0.305555556
2018.04.23,691650,0.319371728
2018.04.24,724000,0.246376812
2018.04.25,723800,0.2
2018.04.26,734800,0.149466192
2018.04.27,757650,0.22519084
2018.04.28,720750,0.308219178
2018.04.29,737600,0.217391304
2018.04.30,808550,0.210762332
2018.05.01,861300,0.238095238
2018.05.02,883100,0.251184834
2018.05.03,884100,0.421052632
2018.05.04,832650,0.297413793
2018.05.05,832750,0.47027027
2018.05.06,815700,0.288372093
2018.05.07,823800,0.153526971
2018.05.08,749900,0.109756098
2018.05.09,737800,0.149090909
2018.05.10,790750,0.108108108
2018.05.11,804750,-0.020231214
2018.05.12,806300,0.129707113
2018.05.13,774200,0.236734694
2018.05.14,773100,0.11299435
2018.05.15,754100,0.208333333
2018.05.16,775250,0.080385852
2018.05.17,777350,0.28458498
2018.05.18,781150,0.182509506
2018.05.19,749800,0.325102881
2018.05.20,689450,0.276190476
2018.05.21,652800,0.255555556
2018.05.22,659200,0.084269663
2018.05.23,656900,0.004950495
2018.05.24,637850,0.030434783
2018.05.25,602500,0.097222222
2018.05.26,601350,0.314606742
2018.05.27,626750,0.125
2018.05.28,629450,0.145454545
2018.05.29,636500,0.224489796
2018.05.30,643400,0.231404959
2018.05.31,663350,0.171253823
2018.06.01,661500,0.194756554
2018.06.02,654900,0.459016393
2018.06.03,660600,0.453551913
2018.06.04,662150,0.170731707
2018.06.05,655750,0.234146341
2018.06.06,656950,0.267857143
2018.06.07,607150,0.186046512
2018.06.08,581350,0.298165138
2018.06.09,571350,0.258241758
2018.06.10,534800,0.104803493
2018.06.11,548050,0.054711246
2018.06.12,561300,0.181506849
2018.06.13,553150,0.032258065
2018.06.14,558750,0.073059361
2018.06.15,563750,0.218340611
2018.06.16,594300,0.182741117
2018.06.17,578500,0.392473118
2018.06.18,595400,0.151162791
2018.06.19,560100,0.412280702
2018.06.20,533800,0.373443983
2018.06.21,514250,0.449612403
2018.06.22,518000,0.207317073
2018.06.23,502550,0.124324324
2018.06.24,491600,0.244565217
2018.06.25,488250,0.357400722
2018.06.26,478200,0.279151943
2018.06.27,501900,0.209401709
2018.06.28,504675,0.20295203
2018.06.29,513950,0.159663866
2018.06.30,526950,0.400544959
2018.07.01,517200,0.178977273
2018.07.02,523900,0.215846995
2018.07.03,523500,0.219020173
2018.07.04,530700,0.301994302
2018.07.05,542950,0.203309693
2018.07.06,537000,0.24691358
2018.07.07,511100,0.092485549
2018.07.08,469100,0.303030303
2018.07.09,490600,0.221024259
2018.07.10,492225,-0.00536193
