candle_date_time_utc,high_price,low_price,mid_price
2017-09-25T00:00:00,326500,320000,323250
2017-09-26T00:00:00,328500,320000,324250
2017-09-27T00:00:00,342500,320000,331250
2017-09-28T00:00:00,346500,327000,336750
2017-09-29T00:00:00,333500,312500,323000
2017-09-30T00:00:00,341500,327000,334250
2017-10-01T00:00:00,344500,331500,338000
2017-10-02T00:00:00,346000,336500,341250
2017-10-03T00:00:00,345500,324000,334750
2017-10-04T00:00:00,343000,333500,338250
2017-10-05T00:00:00,341500,333000,337250
2017-10-06T00:00:00,357000,335500,346250
2017-10-07T00:00:00,360000,349500,354750
2017-10-08T00:00:00,357000,341000,349000
2017-10-09T00:00:00,354000,334000,344000
2017-10-10T00:00:00,353000,334000,343500
2017-10-11T00:00:00,352500,342500,347500
2017-10-12T00:00:00,356500,345000,350750
2017-10-13T00:00:00,400000,347000,373500
2017-10-14T00:00:00,398500,377500,388000
2017-10-15T00:00:00,390500,363000,376750
2017-10-16T00:00:00,398500,371500,385000
2017-10-17T00:00:00,377500,353500,365500
2017-10-18T00:00:00,366500,334500,350500
2017-10-19T00:00:00,365000,345500,355250
2017-10-20T00:00:00,356000,344500,350250
2017-10-24T00:00:00,364000,342500,353250
2017-10-25T00:00:00,352000,333000,342500
2017-10-26T00:00:00,349500,336500,343000
2017-10-27T00:00:00,347500,339000,343250
2017-10-28T00:00:00,348000,339000,343500
2017-10-29T00:00:00,360000,336500,348250
2017-10-30T00:00:00,353500,342500,348000
2017-10-31T00:00:00,398500,343000,370750
2017-11-01T00:00:00,353000,328500,340750
2017-11-02T00:00:00,341500,319500,330500
2017-11-03T00:00:00,352000,327500,339750
2017-11-04T00:00:00,348500,325500,337000
2017-11-05T00:00:00,340500,332000,336250
2017-11-06T00:00:00,353200,292500,322850
2017-11-07T00:00:00,356200,335000,345600
2017-11-08T00:00:00,359500,333000,346250
2017-11-09T00:00:00,372950,339500,356225
2017-11-10T00:00:00,365600,337000,351300
2017-11-11T00:00:00,362650,337000,349825
2017-11-12T00:00:00,377000,339350,358175
2017-11-13T00:00:00,407000,355600,381300
2017-11-14T00:00:00,390100,360700,375400
2017-11-15T00:00:00,385250,376200,380725
2017-11-16T00:00:00,380700,360050,370375
2017-11-17T00:00:00,370000,362300,366150
2017-11-18T00:00:00,386300,363350,374825
2017-11-19T00:00:00,414950,378450,396700
2017-11-20T00:00:00,408000,384400,396200
2017-11-21T00:00:00,408500,380050,394275
2017-11-22T00:00:00,421050,396000,408525
2017-11-23T00:00:00,470000,412050,441025
2017-11-24T00:00:00,536300,448000,492150
2017-11-25T00:00:00,545000,484050,514525
2017-11-26T00:00:00,522500,505000,513750
2017-11-27T00:00:00,557500,519500,538500
